Formal_Name_and_Room,Street_Address,Latitude,Longitude
Blue Phone 01 ANSOC @ Northwest Marine Drive,6303 N W MARINE DR at ANSOC Building,49.26973,-123.25721
Blue Phone 03 Flagpole Plaza @ Main Mall & Crescent Road ,Main Mall & Crescent Road,49.26894, -123.25657
Blue Phone 04 Wyman Plaza @ Main Mall & Memorial Road ,Main Mall & Memorial Road, 49.26777, -123.25504
Blue Phone 05 Ponderosa F @ Lower Mall & Pedestrian Path     ,2008 LOWER MALL Ponderosa Annex F, 49.26497, -123.25755
Blue Phone 06 Ponderosa A @ West Mall & Agricultural Road     ,2011 WEST MALL Ponderosa Annex A, 49.26534, -123.25625
Blue Phone 07 Hennings @ East Mall & Agricultural Road     ,6224 AGRICULTURAL RD/EAST MALL Hennings Bldg, 49.26697, -123.25183
Blue Phone 08 North Parkade @ Student Union Plaza ,6115 STUDENT UNION BLVD Outside North Parkade, 49.26847, -123.25109
Blue Phone 09 IRC @ Health Sciences Plaza ,2194 HEALTH SCIENCES MALL, 49.2651, -123.24738
Blue Phone 10 Biological Sciences @ Main Mall & University Blvd     ,6270 UNIVERSITY BLVD Biological Sciences Bldg, 49.26471, -123.25227
Blue Phone 11 Earth Sciences Building @ Main Mall & Stores Road ,2207 MAIN MALL, 49.26253, -123.25111
Blue Phone 12 Earth & Ocean Sciences @ Stores Road at EOS ,6339 STORES RD, 49.26195, -123.25239
Blue Phone 13 Ritsumeikan @ West Mall at Ritsumeikan ,6460 AGRONOMY RD/WEST MALL Ritsumeikan House, 49.26008, -123.25207
Blue Phone 14 MacMillan @ Main Mall & Agronomy Rd,2357 MAIN MALL H.R. MacMILLAN Bldg, 49.26053, -123.24954
Blue Phone 15 Brock Hall @ East Mall at Memorial Road     ,1874 EAST MALL BROCK Hall, 49.26843, -123.25254
Blue Phone 16 Old Barn Community Centre @ Main Mall & Thunderbird Blvd    ,6308 THUNDERBIRD Blvd Old Barn Community Ctr, 49.25932, -123.24815
Blue Phone 17 Rhododendron Wood @ Main Mall & Eagles Drive ,Main Mall , 49.25758, -123.24671
Blue Phone 18 Life Sciences @ Health Sciences Mall & Agronomy Rd. ,2350 HEALTH SCIENCES MALL Life Sciences Ctr, 49.26187, -123.24574
