Formal Name and Room,Street Address
Blue Phone 01 ANSOC @ Northwest Marine Drive,6303 N W MARINE DR at ANSOC Building
Blue Phone 03 Flagpole Plaza @ Main Mall & Crescent Road ,Main Mall & Crescent Road 
Blue Phone 04 Wyman Plaza @ Main Mall & Memorial Road ,Main Mall & Memorial Road 
Blue Phone 05 Ponderosa F @ Lower Mall & Pedestrian Path     ,2008 LOWER MALL Ponderosa Annex F
Blue Phone 06 Ponderosa A @ West Mall & Agricultural Road     ,2011 WEST MALL Ponderosa Annex A
Blue Phone 07 Hennings @ East Mall & Agricultural Road     ,6224 AGRICULTURAL RD/EAST MALL Hennings Bldg
Blue Phone 08 North Parkade @ Student Union Plaza ,6115 STUDENT UNION BLVD Outside North Parkade
Blue Phone 09 IRC @ Health Sciences Plaza ,2194 HEALTH SCIENCES MALL 
Blue Phone 10 Biological Sciences @ Main Mall & University Blvd     ,6270 UNIVERSITY BLVD Biological Sciences Bldg
Blue Phone 11 Earth Sciences Building @ Main Mall & Stores Road ,2207 MAIN MALL 
Blue Phone 12 Earth & Ocean Sciences @ Stores Road at EOS ,6339 STORES RD 
Blue Phone 13 Ritsumeikan @ West Mall at Ritsumeikan ,6460 AGRONOMY RD/WEST MALL Ritsumeikan House
Blue Phone 14 MacMillan @ Main Mall & Agronomy Rd,2357 MAIN MALL H.R. MacMILLAN Bldg
Blue Phone 15 Brock Hall @ East Mall at Memorial Road     ,1874 EAST MALL BROCK Hall
Blue Phone 16 Old Barn Community Centre @ Main Mall & Thunderbird Blvd    ,6308 THUNDERBIRD Blvd Old Barn Community Ctr
Blue Phone 17 Rhododendron Wood @ Main Mall & Eagles Drive ,Main Mall 
Blue Phone 18 Life Sciences @ Health Sciences Mall & Agronomy Rd. ,2350 HEALTH SCIENCES MALL Life Sciences Ctr
Blue Phone 19 Frank Forward @ Rear Lane of Frank Forward     ,6350 STORES RD Rear Frank FORWARD Bldg
Blue Phone 02 CK Choi @ West Mall & Crescent Road ,1855 WEST MALL CHOI Bldg
