Formal_Name_and_Room,closet_Bluephone,Latitude,Longitude,distance
Blue Phone 01 ANSOC @ Northwest Marine Drive,Blue Phone 62 Rose Garden Parkade Elevator Level 5,49.26945,-123.25658,55.42413500175715
Blue Phone 03 Flagpole Plaza @ Main Mall & Crescent Road,Blue Phone 62 Rose Garden Parkade Elevator Level 5,49.26945,-123.25658,56.72429339580808
Blue Phone 04 Wyman Plaza @ Main Mall & Memorial Road,Blue Phone 03 Flagpole Plaza @ Main Mall & Crescent Road,49.26894,-123.25657,171.26136385783667
Blue Phone 05 Ponderosa F @ Lower Mall & Pedestrian Path,Blue Phone 48 Fraser River Parkade South West Level 1,49.26568,-123.25827,94.76914092484958
Blue Phone 06 Ponderosa A @ West Mall & Agricultural Road,Blue Phone 05 Ponderosa F @ Lower Mall & Pedestrian Path,49.26497,-123.25755,103.17813102739794
Blue Phone 07 Hennings @ East Mall & Agricultural Road,Blue Phone 41 Thunderbird Park pedestrian pathway near Soccer Centre,49.26753,-123.25268,87.78280466714641
Blue Phone 08 North Parkade @ Student Union Plaza,Blue Phone 56 North Parkade South East Level 3,49.26895,-123.25095,54.34680549740137
Blue Phone 09 IRC @ Health Sciences Plaza,Blue Phone 34 SPPH @ Health Sciences Mall & Hospital Lane,49.2642,-123.2479,107.0098331563435
Blue Phone 10 Biological Sciences @ Main Mall & University Blvd,Blue Phone 20 Chemistry Physics @ East Mall & University Blvd.,49.26575,-123.25084,155.59711993810393
Blue Phone 11 Earth Sciences Building @ Main Mall & Stores Road,Blue Phone 12 Earth & Ocean Sciences @ Stores Road at EOS,49.26195,-123.25239,113.31800072125624
Blue Phone 12 Earth & Ocean Sciences @ Stores Road at EOS,Blue Phone 29 CIRS @ West Mall & Stores Road,49.26166,-123.25331,74.32668666356724
Blue Phone 13 Ritsumeikan @ West Mall at Ritsumeikan,Blue Phone 46 Vantage College Agronomy & West Mall,49.26039,-123.25096,87.8449871909675
Blue Phone 14 MacMillan @ Main Mall & Agronomy Rd,Blue Phone 46 Vantage College Agronomy & West Mall,49.26039,-123.25096,104.52721853719001
Blue Phone 15 Brock Hall @ East Mall at Memorial Road,Blue Phone 41 Thunderbird Park pedestrian pathway near Soccer Centre,49.26753,-123.25268,100.6106895978194
Blue Phone 16 Old Barn Community Centre @ Main Mall & Thunderbird Blvd,Blue Phone 14 MacMillan @ Main Mall & Agronomy Rd,49.26053,-123.24954,168.36310992237296
Blue Phone 17 Rhododendron Wood @ Main Mall & Eagles Drive,Blue Phone 16 Old Barn Community Centre @ Main Mall & Thunderbird Blvd,49.25932,-123.24815,220.0795343426319
Blue Phone 18 Life Sciences @ Health Sciences Mall & Agronomy Rd.,Blue Phone 33 Pulp & Paper @ East Mall & Argonomy Road,49.26143,-123.24712,111.73273050989283
Blue Phone 19 Frank Forward @ Rear Lane of Frank Forward,Blue Phone 12 Earth & Ocean Sciences @ Stores Road at EOS,49.26195,-123.25239,74.60411568446983
Blue Phone 02 CK Choi @ West Mall & Crescent Road,Blue Phone 23 Fraser River Parkade @ Memorial Rd at Fraser River Parkade,49.26658,-123.25782,149.3272830310264
Blue Phone 20 Chemistry Physics @ East Mall & University Blvd.,Blue Phone 81 University Blvd Lot Stairs 1,49.26659,-123.24925,148.72443796715476
Blue Phone 21 Chemistry East @ Main Mall & Agricultural Road,Blue Phone 07 Hennings @ East Mall & Agricultural Road,49.26697,-123.25183,164.4279891251281
Blue Phone 22 Buchanan D @ Crescent Road at Buchanan D,Blue Phone 62 Rose Garden Parkade Elevator Level 5,49.26945,-123.25658,156.5044982615307
Blue Phone 23 Fraser River Parkade @ Memorial Rd at Fraser River Parkade,Blue Phone 50 Fraser River Parkade North East Level 2,49.26627,-123.25786,34.59931269036896
Blue Phone 24 Nitobe Garden @ Memorial Rd & Lower Mall,Blue Phone 48 Fraser River Parkade South West Level 1,49.26568,-123.25827,56.939735159121554
Blue Phone 25 St. John's @ Lower Mall & University Blvd.,Blue Phone 71 West Parkade North West Entrance Level 1,49.26281,-123.25539,89.30058336797676
Blue Phone 26 Jack Bell @ West Mall & University Blvd,Blue Phone 25 St. John's @ Lower Mall & University Blvd.,49.26331,-123.25635,143.35566377222017
Blue Phone 27 West Parkade @ Lower Mall & Pedestrian Path at West Parkade,Blue Phone 71 West Parkade North West Entrance Level 1,49.26281,-123.25539,90.8135964154881
Blue Phone 28 BRDF @ Lower Mall & Agronomy Road,Blue Phone 13 Ritsumeikan @ West Mall at Ritsumeikan,49.26008,-123.25207,138.49969095820387
Blue Phone 29 CIRS @ West Mall & Stores Road,Blue Phone 12 Earth & Ocean Sciences @ Stores Road at EOS,49.26195,-123.25239,74.32668666356724
Blue Phone 30 Totem Park @ West Mall & Thunderbird Blvd,Blue Phone 16 Old Barn Community Centre @ Main Mall & Thunderbird Blvd,49.25932,-123.24815,206.8729769947377
Blue Phone 31 Tennis Centre @ Thunderbird & East Mall,Blue Phone 33 Pulp & Paper @ East Mall & Argonomy Road,49.26143,-123.24712,185.6423005625256
Blue Phone 32 TBIRD Parkade @ West Mall & Thunderbird,Blue Phone 67 Thunderbird Parkade North West Level 1,49.26159,-123.24303,83.24595118659444
Blue Phone 33 Pulp & Paper @ East Mall & Argonomy Road,Blue Phone 18 Life Sciences @ Health Sciences Mall & Agronomy Rd.,49.26187,-123.24574,111.73273050989283
Blue Phone 34 SPPH @ Health Sciences Mall & Hospital Lane,Blue Phone 51 Health Sciences Parkade South East Ground Level,49.2633,-123.24768,101.36609347947775
Blue Phone 35 CEME East Mall & Applied Science Lane,Blue Phone 51 Health Sciences Parkade South East Ground Level,49.2633,-123.24768,56.9305663097431
Blue Phone 36 Iona Building South Side,Blue Phone 40 Tallwood House - Walter Gage Rd NE of Brock Commons,49.26974,-123.25097,137.1011224378912
Blue Phone 37 UBC Exchange Bus Loop East - NE Side of Transit Loop,Blue Phone 38 Exchange North,49.26833,-123.24817,97.78143078030268
Blue Phone 38 Exchange North,Blue Phone 86 Saltwater Sturgeon House,49.26915,-123.24856,95.51104488709474
Blue Phone 39 FUTURE: Diesel Bus Loop,Blue Phone 38 Exchange North,49.26833,-123.24817,97.78143078030268
Blue Phone 40 Tallwood House - Walter Gage Rd NE of Brock Commons,Blue Phone 56 North Parkade South East Level 3,49.26895,-123.25095,87.87186865277693
Blue Phone 41 Thunderbird Park pedestrian pathway near Soccer Centre,Blue Phone 07 Hennings @ East Mall & Agricultural Road,49.26697,-123.25183,87.78280466714641
Blue Phone 42 IK Barber 1st Floor Wall Unit,Blue Phone 07 Hennings @ East Mall & Agricultural Road,49.26697,-123.25183,87.78280466714641
Blue Phone 43 IK Barber 2nd Floor Wall Unit,Blue Phone 07 Hennings @ East Mall & Agricultural Road,49.26697,-123.25183,87.78280466714641
